episode,avg_reward,min_reward,max_reward,avg_episode_length,policy_loss,value_loss,entropy
0,-10630.69384765625,-10661.52734375,-10599.8603515625,256,-0.022033902394468896,15.023463084176182,-0.023483744775876402
1,-9503.0078125,-9525.6025390625,-9480.4130859375,256,-0.02559347639380576,7.011962757166475,-0.023285976216720884
2,-9836.3798828125,-9866.982421875,-9805.77734375,256,-0.027484195550884275,5.900724392198026,-0.02305448359596388
0,-9351.08203125,-9398.162109375,-9304.001953125,256,-0.019632298177748454,13.27514589652419,-0.02346816487843171
1,-10242.26318359375,-10265.9248046875,-10218.6015625,256,-0.022711897330373175,7.016080423025414,-0.02306021187978331
0,-81.73174667358398,-82.24430084228516,-81.21919250488281,256,17.684043712851416,30.398796087490744,-0.021887448718189262
