update_step,total_steps,avg_step_reward,avg_episode_reward,avg_episode_length,n_finished,n_total,policy_loss,value_loss,entropy
81,663552,0.9527,0.0000,128.0000,0,64,0.0051,0.0184,2.2819
82,671744,0.9527,0.0000,128.0000,0,64,0.0039,0.0161,2.2477
83,679936,0.9527,0.0000,128.0000,0,64,0.0100,0.0164,2.2234
84,688128,0.9527,0.0000,128.0000,0,64,0.0011,0.0169,2.1623
85,696320,0.9527,0.0000,128.0000,0,64,0.0018,0.0155,2.0594
86,704512,0.9527,0.0000,128.0000,0,64,0.0018,0.0167,2.2973
87,712704,0.9527,0.0000,128.0000,0,64,0.0042,0.0158,1.9571
88,720896,0.9527,0.0000,128.0000,0,64,0.0028,0.0164,2.3449
89,729088,0.9527,0.0000,128.0000,0,64,0.0012,0.0150,2.1366
90,737280,0.9527,0.0000,128.0000,0,64,-0.0005,0.0144,2.1622
91,745472,0.9527,0.0000,128.0000,0,64,-0.0007,0.0179,2.0112
92,753664,0.9527,0.0000,128.0000,0,64,0.0001,0.0146,2.3476
93,761856,0.9527,0.0000,128.0000,0,64,0.0088,0.0195,2.1430
94,770048,0.9527,0.0000,128.0000,0,64,0.0100,0.0238,2.2977
95,778240,0.9527,0.0000,128.0000,0,64,0.0043,0.0132,2.3937
96,786432,0.9527,0.0000,128.0000,0,64,0.0069,0.0254,2.1108
97,794624,0.9527,0.0000,128.0000,0,64,0.0015,0.0207,2.2852
98,802816,0.9527,0.0000,128.0000,0,64,0.0014,0.0116,2.2120
99,811008,0.9527,0.0000,128.0000,0,64,0.0016,0.0142,2.3310
100,819200,0.9527,0.0000,128.0000,0,64,0.0031,0.0144,2.3837
101,827392,0.9527,0.0000,128.0000,0,64,0.0017,0.0103,2.3074
102,835584,0.9527,0.0000,128.0000,0,64,0.0053,0.0118,2.1322
103,843776,0.9527,0.0000,128.0000,0,64,0.0106,0.0127,2.2079
104,851968,0.9527,0.0000,128.0000,0,64,0.0042,0.0143,2.1869
105,860160,0.9527,0.0000,128.0000,0,64,0.0006,0.0124,2.0196
106,868352,0.9527,0.0000,128.0000,0,64,-0.0002,0.0124,2.0639
107,876544,0.9527,0.0000,128.0000,0,64,-0.0000,0.0136,2.1496
108,884736,0.9527,0.0000,128.0000,0,64,-0.0021,0.0119,2.1036
109,892928,0.9527,0.0000,128.0000,0,64,-0.0020,0.0126,2.1906
110,901120,0.9527,0.0000,128.0000,0,64,-0.0016,0.0124,2.2240
111,909312,0.9528,0.0000,128.0000,0,64,0.0008,0.0139,2.2431
112,917504,0.9528,0.0000,128.0000,0,64,-0.0001,0.0140,2.2556
113,925696,0.9528,0.0000,128.0000,0,64,0.0007,0.0130,2.2203
114,933888,0.9528,0.0000,128.0000,0,64,0.0003,0.0105,2.2357
115,942080,0.9529,0.0000,128.0000,0,64,0.0013,0.0122,2.1963
116,950272,0.9529,0.0000,128.0000,0,64,-0.0012,0.0122,2.1345
117,958464,0.9529,0.0000,128.0000,0,64,0.0004,0.0123,2.1905
118,966656,0.9529,0.0000,128.0000,0,64,0.0009,0.0121,2.1015
119,974848,0.9529,0.0000,128.0000,0,64,-0.0015,0.0118,2.1788
120,983040,0.9529,0.0000,128.0000,0,64,-0.0020,0.0126,2.0071
121,991232,0.9529,0.0000,128.0000,0,64,-0.0026,0.0117,2.1188
122,999424,0.9529,0.0000,128.0000,0,64,-0.0005,0.0111,2.1356
123,1007616,0.9529,0.0000,128.0000,0,64,0.0015,0.0096,2.0956
124,1015808,0.9529,0.0000,128.0000,0,64,-0.0016,0.0112,2.1380
125,1024000,0.9529,0.0000,128.0000,0,64,-0.0002,0.0113,2.1560
126,1032192,0.9529,0.0000,128.0000,0,64,-0.0016,0.0110,1.9650
127,1040384,0.9529,0.0000,128.0000,0,64,-0.0013,0.0122,2.0122
128,1048576,0.9529,0.0000,128.0000,0,64,0.0001,0.0115,2.3118
129,1056768,0.9529,0.0000,128.0000,0,64,-0.0006,0.0118,2.0774
130,1064960,0.9529,0.0000,128.0000,0,64,-0.0006,0.0116,2.0778
131,1073152,0.9530,0.0000,128.0000,0,64,-0.0011,0.0109,2.1984
132,1081344,0.9530,0.0000,128.0000,0,64,0.0077,0.0163,2.3679
133,1089536,0.9530,0.0000,128.0000,0,64,0.0258,0.0128,2.2772
134,1097728,0.9530,0.0000,128.0000,0,64,0.0127,0.0100,2.3483
135,1105920,0.9530,0.0000,128.0000,0,64,0.0011,0.0117,2.2026
136,1114112,0.9530,0.0000,128.0000,0,64,0.0012,0.0191,2.2145
137,1122304,0.9530,0.0000,128.0000,0,64,-0.0007,0.0189,2.1011
138,1130496,0.9530,0.0000,128.0000,0,64,0.0008,0.0120,2.3945
139,1138688,0.9530,0.0000,128.0000,0,64,0.0022,0.0098,2.2222
140,1146880,0.9530,0.0000,128.0000,0,64,0.0004,0.0106,2.4044
141,1155072,0.9530,0.0000,128.0000,0,64,0.0026,0.0087,2.2713
142,1163264,0.9530,0.0000,128.0000,0,64,0.0035,0.0101,2.3454
143,1171456,0.9530,0.0000,128.0000,0,64,0.0019,0.0095,2.0125
144,1179648,0.9530,0.0000,128.0000,0,64,0.0023,0.0084,2.0608
145,1187840,0.9530,0.0000,128.0000,0,64,0.0043,0.0148,2.2847
146,1196032,0.9530,0.0000,128.0000,0,64,0.0018,0.0164,2.1623
147,1204224,0.9530,0.0000,128.0000,0,64,-0.0001,0.0105,2.0473
148,1212416,0.9530,0.0000,128.0000,0,64,0.0008,0.0100,2.1400
149,1220608,0.9549,0.0000,128.0000,0,64,0.0225,0.0409,2.0176
150,1228800,0.9552,0.0000,128.0000,0,64,0.0041,0.0176,2.0534
151,1236992,0.9552,0.0000,128.0000,0,64,-0.0014,0.0227,2.1138
